IAUNAME,SOURCEID,VARID,FIELDID,CUEVENTID,RA2000,DEC2000,CEPHTYPE,CEPHSUBTYPE,CEPHMODE,PERIOD,YNEPOCHS,YMEANMAG,YMAGERR,YAMPL,YAMPLERR,JNEPOCHS,JMEANMAG,JMAGERR,JAMPL,JAMPLERR,KSNEPOCHS,KSMEANMAG,KSMAGERR,KSAMPL,KSAMPLERR,NOTES,ORIGVSAREL,ORIGVSASOURCEID,CATALOGUE,EXTERNALID
VMC J003441.97-734417.57,558345752535.0,8398.0,SMC_3_3,871.0,8.674875,-73.738222,DCEP,NONE,F,1.8989379405975342,7.0,16.416000366210938,0.004999999888241291,0.44999998807907104,0.009999999776482582,7.0,16.15999984741211,0.010999999940395355,0.2800000011920929,0.019999999552965164,19.0,15.911999702453613,0.006000000052154064,0.22699999809265137,0.017000000923871994,NONE,VMCv20140903,558395579904.0,OGLE-IV,OGLE-SMC-CEP-0190
VMC J003428.57-740245.19,558345753051.0,8394.0,SMC_3_3,871.0,8.619083,-74.045889,DCEP,NONE,F,1.5504319667816162,7.0,16.933000564575195,0.013000000268220901,0.3799999952316284,0.029999999329447746,7.0,16.611000061035156,0.007000000216066837,0.38999998569488525,0.029999999329447746,19.0,16.30500030517578,0.008999999612569809,0.22100000083446503,0.014999999664723873,NONE,VMCv20140903,558395580583.0,OGLE-IV,OGLE-SMC-CEP-0181
VMC J003433.37-740035.89,558345753980.0,8395.0,SMC_3_3,871.0,8.639125,-74.009972,DCEP,NONE,F,1.201185941696167,7.0,17.20400047302246,0.00800000037997961,0.4699999988079071,0.019999999552965164,7.0,16.986000061035156,0.008999999612569809,0.30000001192092896,0.0,19.0,16.69700050354004,0.010999999940395355,0.20900000631809235,0.014000000432133675,NONE,VMCv20140903,558395581518.0,OGLE-IV,OGLE-SMC-CEP-0183
VMC J003437.99-741203.82,558345758576.0,8396.0,SMC_3_3,871.0,8.65825,-74.201056,DCEP,NONE,F,3.8435370922088623,7.0,15.664999961853027,0.004999999888241291,0.36000001430511475,0.05999999865889549,7.0,15.390999794006348,0.004000000189989805,0.30000001192092896,0.009999999776482582,18.0,15.055999755859375,0.004000000189989805,0.23899999260902405,0.007000000216066837,NONE,VMCv20140903,558395586260.0,OGLE-IV,OGLE-SMC-CEP-0188
VMC J003456.70-741835.73,558345766150.0,8401.0,SMC_3_3,871.0,8.736208,-74.309917,DCEP,NONE,F,4.977944850921631,7.0,15.288000106811523,0.003000000026077032,0.1599999964237213,0.009999999776482582,7.0,15.0,0.004000000189989805,0.10999999940395355,0.009999999776482582,18.0,14.623000144958496,0.004999999888241291,0.13699999451637268,0.007000000216066837,NONE,VMCv20140903,558395594132.0,OGLE-IV,OGLE-SMC-CEP-0200
VMC J003524.61-734445.39,558345766442.0,8412.0,SMC_3_3,871.0,8.852583,-73.745944,DCEP,NONE,FO,1.2795970439910889,7.0,16.384000778198242,0.008999999612569809,0.25,0.009999999776482582,7.0,16.174999237060547,0.004999999888241291,0.20999999344348907,0.019999999552965164,18.0,15.913000106811523,0.004999999888241291,0.10700000077486038,0.013000000268220901,NONE,VMCv20140903,558395594409.0,OGLE-IV,OGLE-SMC-CEP-0214
VMC J003519.90-735618.27,558345768139.0,8410.0,SMC_3_3,871.0,8.832875,-73.938389,DCEP,NONE,FO,1.7410110235214233,7.0,15.967000007629395,0.004999999888241291,0.12999999523162842,0.009999999776482582,7.0,15.701000213623047,0.004000000189989805,0.1599999964237213,0.009999999776482582,18.0,15.420000076293945,0.004000000189989805,0.09399999678134918,0.006000000052154064,NONE,VMCv20140903,558395596064.0,OGLE-IV,OGLE-SMC-CEP-0212
VMC J003555.98-734122.54,558345775993.0,8422.0,SMC_3_3,871.0,8.98325,-73.689583,DCEP,NONE,SO,0.7003759741783142,13.0,16.576000213623047,0.006000000052154064,0.03999999910593033,0.019999999552965164,13.0,16.402999877929688,0.004000000189989805,0.05999999865889549,0.009999999776482582,34.0,16.229000091552734,0.006000000052154064,0.024000000208616257,0.009999999776482582,NONE,VMCv20140903,558395604053.0,OGLE-IV,OGLE-SMC-CEP-0226
VMC J003542.23-740653.22,558345777759.0,8416.0,SMC_3_3,871.0,8.925958,-74.114778,DCEP,NONE,F,1.2139389514923096,7.0,17.173999786376953,0.009999999776482582,0.2800000011920929,0.03999999910593033,7.0,16.910999298095703,0.009999999776482582,0.20000000298023224,0.019999999552965164,18.0,16.631000518798828,0.008999999612569809,0.24300000071525574,0.017999999225139618,NONE,VMCv20140903,558395605808.0,OGLE-IV,OGLE-SMC-CEP-0219
VMC J003551.62-740343.88,558345780049.0,8421.0,SMC_3_3,871.0,8.965083,-74.062194,DCEP,NONE,F,1.3582860231399536,7.0,16.874000549316406,0.010999999940395355,0.28999999165534973,0.009999999776482582,7.0,16.59600067138672,0.012000000104308128,0.20999999344348907,0.019999999552965164,18.0,16.351999282836914,0.007000000216066837,0.2240000069141388,0.02199999988079071,NONE,VMCv20140903,558395608421.0,OGLE-IV,OGLE-SMC-CEP-0225
